1344,1394,1406,1409,2003,2017,2021,2023,2024,2042,2048,2052,2059,2063,2066,2072,2074,2077,2078,2087,2102,2134,2142,2145,2152,2155,2157,2161,2162,2166,2168,2170,2171,2173,2179,2181,2184,2185,2193,2194,2196,2198,2208,2214,2221,2239,2257,2261,2269,2517,
1344,1.00,.458,.457,.458,.406,.461,.450,.460,.462,.451,.461,.456,.459,.420,.459,.459,.359,.440,.451,.462,.462,.455,.459,.454,.460,.441,.356,.458,.420,.461,.401,.458,.455,.432,.351,.452,.437,.367,.457,.460,.434,.458,.460,.436,.457,.356,.342,.431,.457,.455
1394,.458,1.00,.480,.479,.432,.483,.473,.481,.484,.471,.483,.481,.481,.446,.483,.482,.384,.464,.473,.483,.483,.479,.481,.476,.481,.463,.382,.480,.441,.480,.426,.478,.476,.454,.374,.472,.458,.392,.478,.482,.459,.477,.480,.455,.476,.382,.368,.455,.479,.476
1406,.457,.480,1.00,.470,.430,.474,.467,.473,.475,.464,.473,.472,.472,.442,.474,.476,.384,.456,.465,.473,.473,.471,.475,.469,.474,.457,.383,.473,.433,.470,.423,.469,.468,.448,.374,.463,.452,.391,.469,.473,.453,.469,.471,.448,.467,.383,.369,.449,.472,.468
1409,.458,.479,.470,1.00,.405,.459,.451,.457,.459,.454,.456,.459,.456,.420,.457,.455,.358,.438,.451,.458,.460,.455,.456,.455,.458,.439,.358,.456,.419,.458,.403,.457,.452,.431,.353,.452,.435,.368,.457,.459,.434,.456,.459,.437,.459,.357,.343,.433,.457,.452
2003,.406,.432,.430,.405,1.00,.440,.440,.440,.441,.439,.440,.439,.437,.425,.440,.439,.392,.431,.438,.437,.441,.439,.439,.440,.442,.433,.394,.439,.412,.438,.415,.438,.437,.424,.388,.437,.430,.398,.437,.440,.429,.437,.439,.423,.437,.393,.383,.427,.439,.438
2017,.461,.483,.474,.459,.440,1.00,.439,.439,.440,.436,.440,.438,.437,.423,.440,.440,.388,.428,.437,.437,.440,.439,.441,.439,.440,.431,.388,.440,.409,.437,.412,.438,.436,.421,.381,.433,.427,.393,.437,.439,.428,.437,.439,.420,.436,.389,.378,.424,.438,.437
2021,.450,.473,.467,.451,.440,.439,1.00,.450,.453,.450,.453,.452,.449,.416,.452,.450,.361,.436,.450,.452,.450,.451,.451,.453,.453,.445,.361,.449,.417,.447,.401,.451,.451,.430,.355,.448,.431,.368,.452,.448,.434,.450,.450,.429,.448,.361,.346,.431,.449,.454
2023,.460,.481,.473,.457,.440,.439,.450,1.00,.477,.471,.475,.474,.473,.443,.476,.476,.385,.459,.470,.475,.475,.474,.476,.474,.477,.466,.384,.475,.436,.472,.425,.473,.472,.450,.376,.469,.455,.392,.474,.474,.456,.473,.473,.449,.470,.383,.369,.453,.473,.475
2024,.462,.484,.475,.459,.441,.440,.453,.477,1.00,.464,.470,.468,.467,.440,.471,.471,.386,.454,.464,.468,.470,.468,.471,.467,.470,.458,.383,.470,.431,.465,.422,.466,.465,.445,.375,.462,.450,.391,.467,.469,.451,.467,.467,.445,.465,.384,.369,.448,.467,.468
2042,.451,.471,.464,.454,.439,.436,.450,.471,.464,1.00,.455,.453,.454,.429,.457,.457,.381,.443,.454,.453,.455,.453,.457,.454,.456,.446,.379,.456,.420,.451,.414,.452,.452,.432,.370,.448,.437,.386,.452,.456,.440,.452,.453,.431,.450,.379,.366,.438,.454,.455
2048,.461,.483,.473,.456,.440,.440,.453,.475,.470,.455,1.00,.456,.457,.420,.461,.459,.359,.440,.454,.461,.458,.461,.458,.453,.460,.441,.356,.459,.421,.457,.402,.459,.456,.430,.353,.452,.434,.367,.461,.458,.437,.459,.456,.438,.458,.357,.343,.434,.457,.454
2052,.456,.481,.472,.459,.439,.438,.452,.474,.468,.453,.456,1.00,.481,.444,.482,.480,.385,.462,.473,.479,.482,.479,.482,.477,.484,.463,.382,.480,.440,.479,.426,.479,.476,.452,.375,.472,.457,.392,.478,.479,.459,.478,.478,.456,.478,.381,.367,.454,.480,.476
2059,.459,.481,.472,.456,.437,.437,.449,.473,.467,.454,.457,.481,1.00,.440,.475,.474,.385,.456,.467,.471,.474,.471,.475,.468,.475,.457,.383,.472,.433,.470,.423,.471,.468,.447,.375,.463,.451,.391,.469,.471,.454,.470,.469,.450,.468,.383,.368,.448,.471,.468
2063,.420,.446,.442,.420,.425,.423,.416,.443,.440,.429,.420,.444,.440,1.00,.441,.440,.379,.429,.435,.435,.438,.437,.440,.435,.439,.429,.377,.438,.411,.435,.406,.436,.434,.420,.370,.430,.425,.384,.434,.437,.428,.436,.436,.421,.434,.377,.366,.424,.437,.435
2066,.459,.483,.474,.457,.440,.440,.452,.476,.471,.457,.461,.482,.475,.441,1.00,.460,.361,.439,.453,.462,.463,.456,.461,.454,.461,.440,.359,.458,.421,.460,.402,.460,.454,.431,.353,.453,.436,.368,.459,.459,.437,.457,.458,.436,.457,.357,.343,.432,.460,.457
2072,.459,.482,.476,.455,.439,.440,.450,.476,.471,.457,.459,.480,.474,.440,.460,1.00,.385,.462,.473,.482,.481,.477,.482,.475,.480,.461,.382,.478,.438,.478,.425,.479,.476,.450,.375,.471,.457,.392,.476,.481,.459,.477,.479,.454,.476,.382,.368,.454,.479,.476
2074,.359,.384,.384,.358,.392,.388,.361,.385,.386,.381,.359,.385,.385,.379,.361,.385,1.00,.407,.412,.414,.415,.413,.417,.413,.415,.410,.390,.414,.391,.413,.402,.413,.413,.401,.384,.411,.407,.394,.411,.415,.407,.413,.414,.399,.412,.391,.384,.404,.414,.413
2077,.440,.464,.456,.438,.431,.428,.436,.459,.454,.443,.440,.462,.456,.429,.439,.462,.407,1.00,.404,.404,.406,.404,.407,.405,.406,.403,.380,.405,.388,.403,.396,.403,.404,.395,.374,.402,.400,.384,.402,.406,.405,.403,.404,.393,.402,.381,.374,.402,.404,.404
2078,.451,.473,.465,.451,.438,.437,.450,.470,.464,.454,.454,.473,.467,.435,.453,.473,.412,.404,1.00,.453,.451,.453,.452,.453,.453,.440,.357,.454,.418,.450,.401,.452,.451,.428,.355,.444,.435,.367,.451,.452,.434,.452,.448,.431,.452,.357,.344,.432,.451,.453
2087,.462,.483,.473,.458,.437,.437,.452,.475,.468,.453,.461,.479,.471,.435,.462,.482,.414,.404,.453,1.00,.475,.476,.479,.478,.480,.465,.384,.479,.438,.475,.425,.475,.473,.452,.376,.469,.456,.393,.475,.477,.458,.474,.475,.453,.473,.383,.368,.453,.476,.476
2102,.462,.483,.473,.460,.441,.440,.450,.475,.470,.455,.458,.482,.474,.438,.463,.481,.415,.406,.451,.475,1.00,.469,.473,.469,.471,.457,.384,.471,.431,.466,.422,.467,.465,.446,.375,.460,.450,.392,.466,.470,.452,.467,.469,.446,.466,.383,.369,.448,.469,.468
2134,.455,.479,.471,.455,.439,.439,.451,.474,.468,.453,.461,.479,.471,.437,.456,.477,.413,.404,.453,.476,.469,1.00,.462,.457,.459,.446,.379,.459,.422,.453,.415,.455,.453,.435,.370,.449,.439,.387,.454,.457,.443,.454,.457,.435,.453,.379,.365,.439,.457,.455
2142,.459,.481,.475,.456,.439,.441,.451,.476,.471,.457,.458,.482,.475,.440,.461,.482,.417,.407,.452,.479,.473,.462,1.00,.445,.447,.436,.373,.447,.412,.442,.407,.443,.442,.425,.364,.438,.429,.380,.443,.446,.433,.442,.446,.424,.442,.374,.360,.429,.446,.443
2145,.454,.476,.469,.455,.440,.439,.453,.474,.467,.454,.453,.477,.468,.435,.454,.475,.413,.405,.453,.478,.469,.457,.445,1.00,.456,.444,.361,.458,.419,.452,.403,.456,.453,.430,.355,.452,.432,.369,.453,.453,.434,.452,.452,.431,.452,.360,.346,.431,.454,.455
2152,.460,.481,.474,.458,.442,.440,.453,.477,.470,.456,.460,.484,.475,.439,.461,.480,.415,.406,.453,.480,.471,.459,.447,.456,1.00,.465,.383,.479,.438,.475,.426,.475,.474,.451,.377,.470,.455,.392,.474,.475,.457,.473,.475,.453,.474,.384,.369,.452,.477,.475
2155,.441,.463,.457,.439,.433,.431,.445,.466,.458,.446,.441,.463,.457,.429,.440,.461,.410,.403,.440,.465,.457,.446,.436,.444,.465,1.00,.385,.462,.426,.458,.420,.458,.459,.439,.377,.455,.444,.392,.457,.459,.446,.458,.458,.439,.456,.385,.372,.441,.460,.460
2157,.356,.382,.383,.358,.394,.388,.361,.384,.383,.379,.356,.382,.383,.377,.359,.382,.390,.380,.357,.384,.384,.379,.373,.361,.383,.385,1.00,.401,.379,.398,.390,.398,.401,.392,.376,.399,.396,.385,.397,.400,.394,.399,.399,.386,.397,.383,.376,.392,.400,.401
2161,.458,.480,.473,.456,.439,.440,.449,.475,.470,.456,.459,.480,.472,.438,.458,.478,.414,.405,.454,.479,.471,.459,.447,.458,.479,.462,.401,1.00,.373,.393,.383,.393,.395,.386,.367,.393,.389,.376,.393,.396,.389,.395,.395,.381,.393,.375,.367,.387,.396,.395
2162,.420,.441,.433,.419,.412,.409,.417,.436,.431,.420,.421,.440,.433,.411,.421,.438,.391,.388,.418,.438,.431,.422,.412,.419,.438,.426,.379,.373,1.00,.380,.376,.380,.382,.379,.357,.380,.381,.367,.379,.382,.381,.381,.381,.375,.379,.365,.358,.380,.382,.382
2166,.461,.480,.470,.458,.438,.437,.447,.472,.465,.451,.457,.479,.470,.435,.460,.478,.413,.403,.450,.475,.466,.453,.442,.452,.475,.458,.398,.393,.380,1.00,.370,.375,.376,.372,.351,.375,.375,.361,.374,.377,.375,.376,.376,.368,.374,.359,.352,.374,.377,.376
